5, 0.000009, 0.000009, 0.000068
6, 0.000011, 0.000012, 0.000072
7, 0.000005, 0.000005, 0.000022
8, 0.000009, 0.000008, 0.000020
9, 0.000015, 0.000014, 0.000017
10, 0.000026, 0.000018, 0.000018
11, 0.000048, 0.000034, 0.000019
12, 0.000068, 0.000057, 0.000022
13, 0.000091, 0.000095, 0.000018
14, 0.000223, 0.000216, 0.000024
15, 0.000372, 0.000376, 0.000021
16, 0.000756, 0.000751, 0.000029
17, 0.001482, 0.001482, 0.000029
18, 0.002781, 0.002886, 0.000029
19, 0.005679, 0.005547, 0.000026
20, 0.011117, 0.011377, 0.000036
21, 0.021933, 0.022814, 0.000030
22, 0.043899, 0.043924, 0.000034
23, 0.086118, 0.087368, 0.000036
24, 0.170753, 0.173716, 0.000035
25, 0.337022, 0.346390, 0.000037
26, 0.664139, 0.686333, 0.000036
27, 1.326823, 1.363746, 0.000040
28, 2.580365, 2.664119, 0.000039
29, 5.270989, 5.505210, 0.000040
